Country Name,Country Code,ThirdWorld,Region,2008
Afghanistan,AFG,1.0,South Asia,27722281.0
Albania,ALB,0.0,Eastern Europe,2947314.0
Algeria,DZA,0.0,Africa,34730604.0
American Samoa,ASM,0.0,Australia and Oceanea,57490.0
Andorra,AND,0.0,Western Europe,83860.0
Angola,AGO,1.0,Africa,21695636.0
Antigua and Barbuda,ATG,0.0,North America,85394.0
Argentina,ARG,0.0,South America,40080159.0
Armenia,ARM,0.0,Western Asia,2907615.0
Aruba,ABW,0.0,North America,101362.0
Australia,AUS,0.0,Australia and Oceanea,21249200.0
Austria,AUT,0.0,Western Europe,8321496.0
Azerbaijan,AZE,0.0,Western Asia,8763400.0
"Bahamas, The",BHS,0.0,North America,343680.0
Bahrain,BHR,0.0,Middle East,1114645.0
Bangladesh,BGD,1.0,South Asia,144304164.0
Barbados,BRB,0.0,North America,279946.0
Belarus,BLR,0.0,Eastern Europe,9527985.0
Belgium,BEL,0.0,Western Europe,10709973.0
Belize,BLZ,0.0,North America,306822.0
Benin,BEN,1.0,Africa,8696915.0
Bermuda,BMU,0.0,North America,65273.0
Bhutan,BTN,1.0,South Asia,671611.0
Bolivia,BOL,0.0,South America,9721457.0
Bosnia and Herzegovina,BIH,0.0,Eastern Europe,3754261.0
Botswana,BWA,0.0,Africa,1915636.0
Brazil,BRA,0.0,South America,192030362.0
British Virgin Islands,VGB,0.0,North America,26096.0
Brunei Darussalam,BRN,0.0,Southeast Asia,379418.0
Bulgaria,BGR,0.0,Eastern Europe,7492561.0
Burkina Faso,BFA,1.0,Africa,14689725.0
Burundi,BDI,1.0,Africa,8126104.0
Cabo Verde,CPV,0.0,Africa,480846.0
Cambodia,KHM,1.0,Southeast Asia,13883835.0
Cameroon,CMR,0.0,Africa,19252674.0
Canada,CAN,0.0,North America,33247118.0
Cayman Islands,CYM,0.0,North America,53835.0
Central African Republic,CAF,1.0,Africa,4273368.0
Chad,TCD,1.0,Africa,11183589.0
Channel Islands,CHI,0.0,North America,156441.0
Chile,CHL,0.0,South America,16708255.0
China,CHN,0.0,East Asia,1324655000.0
Colombia,COL,0.0,South America,44254972.0
Comoros,COM,1.0,Africa,657227.0
"Congo, Dem. Rep.",COD,1.0,Africa,60411195.0
"Congo, Rep.",COG,0.0,Africa,4011487.0
Costa Rica,CRI,0.0,North America,4463123.0
Cote d'Ivoire,CIV,0.0,Africa,19605568.0
Croatia,HRV,0.0,Eastern Europe,4309705.0
Cuba,CUB,0.0,North America,11236975.0
Curacao,CUW,0.0,North America,145880.0
Cyprus,CYP,0.0,Middle East,1081568.0
Czech Republic,CZE,0.0,Western Europe,10384603.0
Denmark,DNK,0.0,Northern Europe,5493621.0
Djibouti,DJI,1.0,Africa,816361.0
Dominica,DMA,0.0,North America,70829.0
Dominican Republic,DOM,0.0,North America,9458079.0
Ecuador,ECU,0.0,South America,14535740.0
"Egypt, Arab Rep.",EGY,0.0,Africa,79636081.0
El Salvador,SLV,0.0,North America,6131767.0
Equatorial Guinea,GNQ,0.0,Africa,860839.0
Estonia,EST,0.0,Northern Europe,1337090.0
Eswatini,SWZ,0.0,Africa,1049948.0
Ethiopia,ETH,1.0,Africa,82916236.0
Faroe Islands,FRO,0.0,Northern Europe,47822.0
Fiji,FJI,0.0,Australia and Oceanea,845356.0
Finland,FIN,0.0,Northern Europe,5313399.0
France,FRA,0.0,Western Europe,64374979.0
French Polynesia,PYF,0.0,Australia and Oceanea,264064.0
Gabon,GAB,0.0,Africa,1518538.0
"Gambia, The",GMB,1.0,Africa,1689288.0
Georgia,GEO,0.0,Western Asia,3848449.0
Germany,DEU,0.0,Western Europe,82110097.0
Ghana,GHA,0.0,Africa,23563832.0
Gibraltar,GIB,0.0,Western Europe,33570.0
Greece,GRC,0.0,Eastern Europe,11077841.0
Greenland,GRL,0.0,Northern Europe,56328.0
Grenada,GRD,0.0,North America,105457.0
Guam,GUM,0.0,Australia and Oceanea,159037.0
Guatemala,GTM,0.0,North America,13739299.0
Guinea,GIN,1.0,Africa,9738796.0
Guinea-Bissau,GNB,1.0,Africa,1446936.0
Guyana,GUY,0.0,South America,746815.0
Haiti,HTI,1.0,North America,9646570.0
Honduras,HND,0.0,North America,7980955.0
"Hong Kong SAR, China",HKG,0.0,East Asia,6957800.0
Hungary,HUN,0.0,Eastern Europe,10038188.0
Iceland,ISL,0.0,Northern Europe,317414.0
India,IND,0.0,South Asia,1200669762.0
Indonesia,IDN,0.0,Southeast Asia,235469755.0
"Iran, Islamic Rep.",IRN,0.0,Middle East,72120608.0
Iraq,IRQ,0.0,Middle East,28385739.0
Ireland,IRL,0.0,Northern Europe,4489544.0
Isle of Man,IMN,0.0,Northern Europe,83515.0
Israel,ISR,0.0,Middle East,7308800.0
Italy,ITA,0.0,Western Europe,58826731.0
Jamaica,JAM,0.0,North America,2781869.0
Japan,JPN,0.0,East Asia,128063000.0
Jordan,JOR,0.0,Middle East,6556473.0
Kazakhstan,KAZ,0.0,Western Asia,15776938.0
Kenya,KEN,0.0,Africa,39791984.0
Kiribati,KIR,1.0,Australia and Oceanea,98760.0
"Korea, Dem. People's Rep.",PRK,0.0,East Asia,24310143.0
"Korea, Rep.",KOR,0.0,East Asia,49054708.0
Kosovo,XKX,0.0,Eastern Europe,1747383.0
Kyrgyz Republic,KGZ,0.0,Western Asia,5318700.0
Lao PDR,LAO,1.0,Southeast Asia,6046630.0
Latvia,LVA,0.0,Northern Europe,2177322.0
Lebanon,LBN,0.0,Middle East,4764745.0
Lesotho,LSO,1.0,Africa,1987130.0
Liberia,LBR,1.0,Africa,3607863.0
Libya,LBY,0.0,Africa,6058740.0
Liechtenstein,LIE,0.0,Western Europe,35469.0
Lithuania,LTU,0.0,Northern Europe,3198231.0
Luxembourg,LUX,0.0,Western Europe,488650.0
"Macao SAR, China",MAC,0.0,East Asia,515232.0
Madagascar,MDG,1.0,Africa,19996476.0
Malawi,MWI,1.0,Africa,13727899.0
Malaysia,MYS,0.0,Southeast Asia,27236003.0
Maldives,MDV,0.0,South Asia,343448.0
Mali,MLI,1.0,Africa,14113578.0
Malta,MLT,0.0,Western Europe,409379.0
Marshall Islands,MHL,0.0,Australia and Oceanea,56166.0
Mauritania,MRT,1.0,Africa,3296237.0
Mauritius,MUS,0.0,Africa,1244121.0
Mexico,MEX,0.0,North America,110815272.0
"Micronesia, Fed. Sts.",FSM,0.0,Australia and Oceanea,103549.0
Moldova,MDA,0.0,Eastern Europe,2867964.0
