Country Name,Country Code,ThirdWorld,Region,2018
"Micronesia, Fed. Sts.",FSM,0.0,Australia and Oceanea,112640.0
Moldova,MDA,0.0,Eastern Europe,2708214.0
Monaco,MCO,0.0,Western Europe,38682.0
Mongolia,MNG,0.0,East Asia,3170214.0
Montenegro,MNE,0.0,Eastern Europe,622227.0
Morocco,MAR,0.0,Africa,36029089.0
Mozambique,MOZ,1.0,Africa,29496009.0
Myanmar,MMR,1.0,Southeast Asia,53708318.0
Namibia,NAM,0.0,Africa,2448300.0
Nauru,NRU,0.0,Australia and Oceanea,10678.0
Nepal,NPL,1.0,South Asia,28095712.0
Netherlands,NLD,0.0,Western Europe,17231624.0
New Caledonia,NCL,0.0,Australia and Oceanea,270650.0
New Zealand,NZL,0.0,Australia and Oceanea,4900600.0
Nicaragua,NIC,0.0,North America,6465502.0
Niger,NER,1.0,Africa,22442831.0
Nigeria,NGA,0.0,Africa,195874685.0
North Macedonia,MKD,0.0,Eastern Europe,2082957.0
Northern Mariana Islands,MNP,0.0,Australia and Oceanea,56889.0
Norway,NOR,0.0,Northern Europe,5311916.0
Oman,OMN,0.0,Middle East,4829476.0
Pakistan,PAK,0.0,South Asia,212228288.0
Palau,PLW,0.0,Australia and Oceanea,17911.0
Panama,PAN,0.0,North America,4176868.0
Papua New Guinea,PNG,0.0,Australia and Oceanea,8606324.0
Paraguay,PRY,0.0,South America,6956069.0
Peru,PER,0.0,South America,31989265.0
Philippines,PHL,0.0,Southeast Asia,106651394.0
Poland,POL,0.0,Eastern Europe,37974750.0
Portugal,PRT,0.0,Western Europe,10283822.0
Puerto Rico,PRI,0.0,North America,3193354.0
Qatar,QAT,0.0,Middle East,2781682.0
Romania,ROU,0.0,Eastern Europe,19473970.0
Russian Federation,RUS,0.0,Eastern Europe,144477859.0
Rwanda,RWA,1.0,Africa,12301969.0
Samoa,WSM,0.0,Australia and Oceanea,196128.0
San Marino,SMR,0.0,Western Europe,33784.0
Sao Tome and Principe,STP,1.0,Africa,211032.0
Saudi Arabia,SAU,0.0,Middle East,33702757.0
Senegal,SEN,1.0,Africa,15854324.0
Serbia,SRB,0.0,Eastern Europe,6982604.0
Seychelles,SYC,0.0,Africa,96762.0
Sierra Leone,SLE,1.0,Africa,7650149.0
Singapore,SGP,0.0,Southeast Asia,5638676.0
Sint Maarten (Dutch part),SXM,0.0,North America,40654.0
Slovak Republic,SVK,0.0,Eastern Europe,5446771.0
Slovenia,SVN,0.0,Western Europe,2073894.0
Solomon Islands,SLB,1.0,Australia and Oceanea,652856.0
Somalia,SOM,1.0,Africa,15008225.0
South Africa,ZAF,0.0,Africa,57792520.0
South Sudan,SSD,1.0,Africa,10975924.0
Spain,ESP,0.0,Western Europe,46797754.0
Sri Lanka,LKA,0.0,South Asia,21670000.0
St. Kitts and Nevis,KNA,0.0,North America,52438.0
St. Lucia,LCA,0.0,North America,181890.0
St. Martin (French part),MAF,0.0,Western Europe,37264.0
St. Vincent and the Grenadines,VCT,0.0,North America,110210.0
Sudan,SDN,1.0,Africa,41801532.0
Suriname,SUR,0.0,South America,575987.0
Sweden,SWE,0.0,Northern Europe,10175214.0
Switzerland,CHE,0.0,Western Europe,8514329.0
Syrian Arab Republic,SYR,0.0,Middle East,16945062.0
Tajikistan,TJK,0.0,Western Asia,9100847.0
Tanzania,TZA,1.0,Africa,56313444.0
Thailand,THA,0.0,Thailand,69428454.0
Timor-Leste,TLS,1.0,Southeast Asia,1267975.0
Togo,TGO,1.0,Africa,7889095.0
Tonga,TON,0.0,Australia and Oceanea,103199.0
Trinidad and Tobago,TTO,0.0,North America,1389841.0
Tunisia,TUN,0.0,Africa,11565203.0
Turkey,TUR,0.0,Middle East,82340090.0
Turkmenistan,TKM,0.0,Western Asia,5850902.0
Turks and Caicos Islands,TCA,0.0,North America,37667.0
Tuvalu,TUV,1.0,Australia and Oceanea,11505.0
Uganda,UGA,1.0,Africa,42729032.0
Ukraine,UKR,0.0,Eastern Europe,44622518.0
United Arab Emirates,ARE,0.0,Middle East,9630966.0
United Kingdom,GBR,0.0,Northern Europe,66460344.0
United States,USA,0.0,North America,326838199.0
Uruguay,URY,0.0,South America,3449290.0
Uzbekistan,UZB,0.0,Western Asia,32956100.0
Vanuatu,VUT,1.0,Australia and Oceanea,292675.0
"Venezuela, RB",VEN,0.0,South America,28887117.0
Vietnam,VNM,0.0,Southeast Asia,95545959.0
Virgin Islands (U.S.),VIR,0.0,North America,107001.0
West Bank and Gaza,PSE,0.0,Middle East,4569087.0
"Yemen, Rep.",YEM,1.0,Middle East,28498683.0
Zambia,ZMB,1.0,Africa,17351714.0
Zimbabwe,ZWE,0.0,Africa,14438812.0
